Narration,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Sales,68484.0,70522.0,82675.0,90791.0,100472.0,121641.0,146767.0,153670.0,162990.0,178650.0
Expenses,49880.0,51700.0,62505.0,68524.0,72583.0,90150.0,111637.0,117245.0,123754.0,136370.0
Operating Profit,18604.0,18822.0,20170.0,22267.0,27889.0,31491.0,35130.0,36425.0,39236.0,42280.0
Other Income,3050.0,3311.0,2882.0,2803.0,2201.0,2295.0,2701.0,4711.0,3600.0,3033.0
Depreciation,1703.0,1863.0,2011.0,2893.0,3267.0,3476.0,4225.0,4678.0,4812.0,4902.0
Interest,0.0,0.0,0.0,170.0,195.0,200.0,284.0,470.0,416.0,416.0
Profit before tax,19951.0,20270.0,21041.0,22007.0,26628.0,30110.0,33322.0,35988.0,37608.0,39995.0
Tax,5598.0,4241.0,5631.0,5368.0,7205.0,7964.0,9214.0,9740.0,10858.0,10521.0
Net profit,14353.0,16029.0,15404.0,16594.0,19351.0,22110.0,24095.0,26233.0,26713.0,29440.0
EPS,31.243605650971944,36.69474840895563,35.258303005333154,38.96219769899037,45.41741967282371,52.55901300306653,58.079834160921756,63.19834252812643,64.31753063828764,72.59098530427063
Price to earning,16.359507468821846,15.421825316613639,21.09715830303817,16.464676991683742,30.121702418479664,36.28017139303483,24.585986179705333,23.703944440208897,24.420247239171935,17.228034510869566
Price,511.13,565.9,743.85,641.5,1368.05,1906.85,1427.95,1498.05,1570.65,1250.6
,,,,,,,,,,
RATIOS:,,,,,,,,,,
Dividend Payout,0.4104786455793214,0.5905296649822197,0.5987081277590236,0.44757141135350126,0.5927135548550463,0.5883129805517865,0.5839053745590371,0.7263065604391415,0.6673829221727249,0.66
OPM,0.27165469306699375,0.2668954368849437,0.24396734200181433,0.24525558700752279,0.27757982323433394,0.2588847510296693,0.23935898396778568,0.23703390381987374,0.24072642493404503,0.23666386789812482
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,0.11241852195135271,0.11635961365932812,0.12199673885587958,0.06772202424210727
,,,,,,,0.2484264810115394,0.2457829003927827,0.241662498461474,0.23811552361147564
,,,,,,,21.935521323685517,23.551530434008377,23.63764401031727,20.23992662229086
